Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ12,4396.349,10.1,10.866978543069834,10.830248666666671,9.234,1.8559999999999999,7.732,1.4709999999999999,2.521,70.892,10.904000000000002,4.078,S1K3,,5.0,3.0
TZ12,4396.4490000000005,10.8,11.236020868752952,12.099049333333337,9.232000000000001,1.745,7.542000000000001,1.361,2.523,71.725,9.554,4.05,S1K3,,5.0,3.0
TZ12,4396.599,8.7,10.85916259797796,9.099629333333308,9.222999999999999,1.665,7.38,1.268,2.54,70.42399999999999,7.025,3.8139999999999996,S1K3,,5.0,3.0
TZ12,4396.799,5.2,8.282186650086771,6.21371533333326,9.193,1.919,7.874,2.674,2.577,64.139,7.957000000000001,2.439,S1K3,,5.0,3.0
TZ12,4396.899,7.6,8.051006815202966,7.122526000000022,9.172,2.541,10.064,2.937,2.596,64.139,8.613999999999999,1.4140000000000001,S1K3,,5.0,3.0
TZ12,4397.126,7.257000000000001,6.922525875700737,6.902228999999952,9.179,2.799,10.850999999999999,2.467,2.634,63.553000000000004,9.693999999999999,0.484,S1K3,,5.0,3.0
TZ12,4397.806,9.704,8.04619836609542,8.824718666666659,9.172,2.324,8.57,0.62,2.513,63.391999999999996,9.136000000000001,6.247000000000001,S1K3,,5.0,3.0
TZ12,4397.906,9.86,8.573797215207438,8.274925999999999,9.14,2.548,9.17,1.055,2.477,64.704,12.814,8.488999999999999,S1K3,,5.0,3.0
TZ12,4398.005999999999,11.294,9.06137334479369,10.062821777777772,9.274,3.2760000000000002,10.235,1.453,2.491,66.553,16.928,6.162000000000001,S1K3,,5.0,1.0
TZ12,4399.3679999999995,9.181000000000001,9.450362228149388,9.24063800000002,9.323,1.797,9.031,0.83,2.5340000000000003,67.025,10.165,3.741,S1K3,,5.0,1.0
TZ12,4399.518,7.84,9.583198492634986,8.40386311111115,9.342,1.8130000000000002,8.874,0.828,2.52,66.987,10.479000000000001,4.754,S1K3,,5.0,1.0
TZ12,4399.698,11.413,10.141123488893577,11.506146000000015,9.373,1.797,8.502,0.7240000000000001,2.52,67.708,10.765,5.994,S1K3,,5.0,1.0
TZ12,4399.788,11.989,10.484632327745157,11.969115333333324,9.391,1.824,8.507,0.7509999999999999,2.52,68.255,10.624,6.638,S1K3,,5.0,1.0
TZ12,4400.554,7.921,9.755730494410543,8.504500666666694,9.531,2.004,8.874,1.074,2.59,67.1,10.161,2.1430000000000002,S1K3,,5.0,1.0
TZ12,4400.936,7.54,9.793682766436977,10.840480666666664,9.531,1.952,8.449,1.015,2.549,67.722,9.379,3.14,S1K3,,5.0,1.0
TZ12,4401.196,10.14,10.525385120982786,12.233662666666687,9.537,1.9780000000000002,8.314,1.077,2.54,68.99600000000001,10.798,4.386,S1K3,,5.0,1.0
TZ12,4401.346,11.616,10.495270528492822,12.17919000000002,9.535,1.986,8.322000000000001,1.181,2.544,68.859,10.672,4.45,S1K3,,5.0,1.0
TZ12,4401.516,12.3,10.408413251430474,12.115722000000016,9.442,2.0909999999999997,8.529,1.4869999999999999,2.58,68.71600000000001,9.347000000000001,2.549,S1K3,,5.0,1.0
TZ12,4401.746,12.284,9.157946408736084,10.265108666666666,9.45,2.189,8.617,1.722,2.575,66.855,8.692,1.9580000000000002,S1K3,,5.0,1.0
TZ12,4401.896,11.698,9.17914594159208,10.516583333333333,9.462,2.1919999999999997,8.704,1.8330000000000002,2.5780000000000003,66.84899999999999,8.92,1.787,S1K3,,5.0,1.0
TZ12,4402.066,11.581,9.26794906166974,9.789208666666667,9.459,2.005,8.191,1.694,2.5140000000000002,67.211,8.124,3.928,S1K3,,5.0,1.0
TZ12,4402.276,10.59,7.653693214814694,9.047771333333348,9.419,1.906,8.179,1.751,2.499,62.733000000000004,13.344000000000001,5.659,S1K3,,5.0,1.0
TZ12,4402.436,10.201,10.395329873270645,11.45427733333332,9.427,1.791,7.928,1.6740000000000002,2.489,69.712,16.132,5.551,S1K3,,5.0,1.0
TZ12,4404.242,10.6,8.497724384055013,9.577366666666673,9.248,1.3969999999999998,8.732000000000001,2.148,2.58,64.671,7.216,2.454,S1K3,,5.0,3.0
TZ12,4404.442,8.62,8.9313104905927,8.565780666666647,9.269,1.252,8.648,1.983,2.5810000000000004,64.918,5.962000000000001,3.432,S1K3,,5.0,3.0
TZ12,4405.471,8.1,7.482563941972863,6.498708088888926,9.546,1.8969999999999998,10.405,1.8359999999999999,2.517,64.976,10.51,2.594,S1K3,,1.0,3.0
TZ12,4405.69,9.8,10.150363096730745,9.821474666666656,10.292,1.923,10.485,1.805,2.535,70.077,11.533,2.8819999999999997,S1K3,,1.0,3.0
TZ12,4405.835999999999,9.766,10.483311238393089,10.463665999999998,10.18,1.959,10.485999999999999,1.775,2.521,70.727,8.579,3.5610000000000004,S1K3,,1.0,3.0
TZ12,4405.871,12.6,10.63294982120957,11.687602000000004,10.071,1.98,10.545,1.806,2.523,71.13,8.507,3.4539999999999997,S1K3,,1.0,3.0
TZ12,4406.1359999999995,13.147,7.269846398638361,10.224666755555551,9.574,2.325,11.7,2.33,2.5540000000000003,64.407,9.798,1.758,S1K3,,5.0,3.0
TZ12,4406.316,10.780999999999999,8.941779553126956,10.818111999999992,9.582,2.228,11.459000000000001,2.22,2.53,69.421,12.993,1.9240000000000002,S1K3,,5.0,3.0
