Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ127,4356.657999999999,12.765999999999998,10.969092691273058,12.824405333333308,8.539,2.117,10.572000000000001,2.388,2.516,69.952,14.434000000000001,2.119,S1K3,5.0,5.0,
TZ127,4356.928,10.911,9.515972198545374,10.682891333333329,8.503,2.109,10.868,2.541,2.539,66.851,13.019,1.7169999999999999,S1K3,4.0,5.0,
TZ127,4357.008,10.137,9.224878627448216,9.94237453333334,8.501,2.117,10.962,2.603,2.537,66.044,12.795,1.722,S1K3,4.0,6.0,
TZ127,4357.238,7.4639999999999995,9.366226283396792,7.978495333333322,8.562000000000001,2.197,11.344000000000001,2.6489999999999996,2.5269999999999997,66.564,13.892000000000001,1.7730000000000001,S1K3,5.0,6.0,
TZ127,4357.288,6.077999999999999,9.323030520029086,7.249627999999959,8.577,2.209,11.437999999999999,2.634,2.529,66.592,14.47,1.76,S1K3,5.0,6.0,
TZ127,4358.138,13.234000000000002,10.947799621684885,10.351898222222223,8.57,2.779,16.663,2.202,2.517,72.248,14.126,1.185,S1K3,6.0,2.0,
TZ127,4358.288,11.985,9.69807722327299,10.953402000000008,8.566,2.805,16.636,2.6710000000000003,2.539,67.71,13.953,0.851,S1K3,2.0,2.0,
TZ127,4358.407999999999,8.145,9.252132563445976,8.480443111111107,8.566,2.81,17.017,2.7510000000000003,2.562,66.005,14.663,0.622,S1K3,2.0,2.0,
TZ127,4358.738,4.02,8.242109743928445,4.934273999999944,8.556000000000001,2.8,19.184,2.181,2.6180000000000003,65.483,15.4,0.31,S1K3,2.0,2.0,
TZ127,4359.008,7.984,8.305019889123596,7.34538483333332,8.564,2.766,20.671999999999997,1.6540000000000001,2.596,66.551,14.811,0.332,S1K3,5.0,6.0,
TZ127,4359.208,8.414,8.903379560027838,8.863687733333315,8.578,2.505,20.406,1.591,2.568,67.433,14.503,0.6659999999999999,S1K3,1.0,6.0,
TZ127,4359.458,8.934,9.402365551463133,9.125108666666666,8.582,2.093,18.090999999999998,1.9380000000000002,2.555,68.068,14.360999999999999,0.965,S1K3,1.0,6.0,
